game_symbol, game_name
Unearthed_Trail_of_Ibn_Battuta, Unearthed Trail of Ibn Battuta
Sword_Art_Online_Hollow_Realization, Sword Art Online Hollow Realization
The_Wolf_Among_Us, The Wolf Among Us
Kholat, Kholat
Lovers_in_a_Dangerous_Spacetime, Lovers in a Dangerous Spacetime
Bastion, Bastion
Transistor, Transistor
Evolve, Evolve
Adrift, Adrift
Rise_of_the_Tomb_Raider, Rise of the Tomb Raider
SteamWorld_Heist, SteamWorld Heist
Uno, Uno
Scivelation, Scivelation
Chronicles_of_Teddy_Harmony_of_Exidus, Chronicles of Teddy Harmony of Exidus
Dead_or_Alive_Xtreme_3, Dead or Alive Xtreme 3
Death_Stranding, Death Stranding
The_Evil_Within, The Evil Within
DmC_Devil_May_Cry, DmC Devil May Cry
Dont_Starve, Dont Starve
Velocity_2X, Velocity 2X
Rugby_Challenge_3, Rugby Challenge 3
Overwatch, Overwatch
Battalion_1944, Battalion 1944
Super_Meat_Boy, Super Meat Boy
NHL_15, NHL 15
Kingdom_Under_Fire_II, Kingdom Under Fire II
Sentris, Sentris
Tales_of_Berseria, Tales of Berseria
Phantom_Breaker_Battle_Grounds, Phantom Breaker Battle Grounds
Invisible_Inc., Invisible Inc.
FIFA_14, FIFA 14
Pac-Man_Championship_Edition_2, Pac-Man Championship Edition 2
Warriors_Orochi_3, Warriors Orochi 3
Hotline_Miami, Hotline Miami
Dead_Nation, Dead Nation
Bombshell, Bombshell
One_Piece_Pirate_Warriors_3, One Piece Pirate Warriors 3
Metal_Slug_3, Metal Slug 3
Duelyst, Duelyst
Tony_Hawks_Pro_Skater_5, Tony Hawks Pro Skater 5
Primal_Carnage_Genesis, Primal Carnage Genesis
Citizens_of_Earth, Citizens of Earth
Earth_Defense_Force_2025, Earth Defense Force 2025
Metro_Last_Light, Metro Last Light
Dying_Light, Dying Light
Psychonauts_2, Psychonauts 2
Limbo, Limbo
Disgaea_5, Disgaea 5
Galak-Z_The_Dimensional, Galak-Z The Dimensional
Ravens_Cry, Ravens Cry
Skulls_of_the_Shogun, Skulls of the Shogun
War_of_the_Monsters, War of the Monsters
RIGS_Mechanized_Combat_League, RIGS Mechanized Combat League
Assassins_Creed_Brotherhood, Assassins Creed Brotherhood
Abzu, Abzu
NBA_2K14, NBA 2K14
Legend_of_Kay, Legend of Kay
CounterSpy, CounterSpy
The_Binding_of_Isaac_Rebirth, The Binding of Isaac Rebirth
Fenix_Rage, Fenix Rage
Rock_Band_4, Rock Band 4
Republique, Republique
Apotheon, Apotheon
Dishonored, Dishonored
Human_Element, Human Element
Uncharted_Drakes_Fortune, Uncharted Drakes Fortune
Trove, Trove
Batman_The_Telltale_Series, Batman The Telltale Series
Killing_Floor_2, Killing Floor 2
World_of_Tanks, World of Tanks
Chroma_Squad, Chroma Squad
God_Eater_2, God Eater 2
Afro_Samurai_2, Afro Samurai 2
Dark_Souls_II, Dark Souls II
Forced, Forced
Resident_Evil_4, Resident Evil 4
Detroit_Become_Human, Detroit Become Human
Worms_Battlegrounds, Worms Battlegrounds
Dead_Rising_2, Dead Rising 2
LittleBigPlanet_3, LittleBigPlanet 3
Persona_5, Persona 5
Battlefield_4, Battlefield 4
Blade_Arcus_from_Shining, Blade Arcus from Shining
The_Last_Blade_2, The Last Blade 2
Onechanbara_Z2_Chaos, Onechanbara Z2 Chaos
Prototype, Prototype
Yooka-Laylee, Yooka-Laylee
Salt_and_Sanctuary, Salt and Sanctuary
Song_of_the_Deep, Song of the Deep
ZombiU, ZombiU
The_Last_of_Us_Left_Behind, The Last of Us Left Behind
Pier_Solar_and_the_Great_Architects, Pier Solar and the Great Architects
Secret_Ponchos, Secret Ponchos
Puyo_Puyo_Tetris, Puyo Puyo Tetris
Dragon_Quest_X, Dragon Quest X
Pix_the_Cat, Pix the Cat
Hyper_Light_Drifter, Hyper Light Drifter
Root_Letter, Root Letter
Super_Dodge_Ball, Super Dodge Ball
Lego_Dimensions, Lego Dimensions
Contrast, Contrast
Trine, Trine
Saturday_Morning_RPG, Saturday Morning RPG
Hunt_Horrors_of_the_Gilded_Age, Hunt Horrors of the Gilded Age
Keep_Talking_and_Nobody_Explodes, Keep Talking and Nobody Explodes
Trine_2, Trine 2
Ride, Ride
Shadow_Warrior_2, Shadow Warrior 2
Final_Fantasy_XV, Final Fantasy XV
Soma, Soma
Skylanders_Imaginators, Skylanders Imaginators
MLB_The_Show_16, MLB The Show 16
Lego_The_Hobbit, Lego The Hobbit
BlazBlue_Central_Fiction, BlazBlue Central Fiction
EverQuest_Next, EverQuest Next
Metro_2033, Metro 2033
Beyond_Two_Souls, Beyond Two Souls
Tharsis, Tharsis
Plague_Inc_Evolved, Plague Inc Evolved
The_Escapists, The Escapists
Aegis_of_Earth_Protonovus_Assault, Aegis of Earth Protonovus Assault
Awesomenauts, Awesomenauts
The_Crew, The Crew
Just_Dance_2016, Just Dance 2016
Final_Fantasy_XII, Final Fantasy XII
Broken_Sword_5_The_Serpents_Curse, Broken Sword 5 The Serpents Curse
Syberia_III, Syberia III
Uncharted_3_Drakes_Deception, Uncharted 3 Drakes Deception
BlazBlue_Chrono_Phantasma, BlazBlue Chrono Phantasma
The_Deadly_Tower_of_Monsters, The Deadly Tower of Monsters
Thumper, Thumper
Gradius_II, Gradius II
Overlord_Fellowship_of_Evil, Overlord Fellowship of Evil
NHL_16, NHL 16
Gauntlet, Gauntlet
Middle-earth_Shadow_of_Mordor, Middle-earth Shadow of Mordor
Snow, Snow
Payday_2, Payday 2
Titan_Souls, Titan Souls
Don_Bradman_Cricket_14, Don Bradman Cricket 14
Q.U.B.E., Q.U.B.E.
Dragon_Quest_Builders, Dragon Quest Builders
KickBeat, KickBeat
Star_Ocean_Integrity_and_Faithlessness, Star Ocean Integrity and Faithlessness
Red_Dead_Revolver, Red Dead Revolver
Lone_Survivor, Lone Survivor
Minecraft_Story_Mode, Minecraft Story Mode
Crimsonland, Crimsonland
PixelJunk_Shooter, PixelJunk Shooter
Peggle_2, Peggle 2
Thomas_Was_Alone, Thomas Was Alone
Tetris_Ultimate, Tetris Ultimate
Dishonored_2, Dishonored 2
Whore_of_the_Orient, Whore of the Orient
Megadimension_Neptunia_VII, Megadimension Neptunia VII
Shadow_Blade_Reload, Shadow Blade Reload
Heavy_Rain, Heavy Rain
Goat_Simulator, Goat Simulator
Strider, Strider
Phantasy_Star_Online_2, Phantasy Star Online 2
Sleeping_Dogs, Sleeping Dogs
The_Bridge, The Bridge
Dangerous_Golf, Dangerous Golf
Kings_Quest, Kings Quest
Rise_of_the_Kasai, Rise of the Kasai
Far_Cry_4, Far Cry 4
Clustertruck, Clustertruck
Darksiders_II, Darksiders II
Mortal_Kombat_X, Mortal Kombat X
Need_for_Speed, Need for Speed
Adventures_of_Pip, Adventures of Pip
DC_Universe_Online, DC Universe Online
OlliOlli2_Welcome_to_Olliwood, OlliOlli2 Welcome to Olliwood
Videoball, Videoball
Dragon_Quest_XI, Dragon Quest XI
Dead_or_Alive_5_Last_Round, Dead or Alive 5 Last Round
Aragami, Aragami
Odin_Sphere, Odin Sphere
Paragon, Paragon
Exist_Archive, Exist Archive
A_Boy_and_His_Blob, A Boy and His Blob
Party_Hard, Party Hard
Dead_Island, Dead Island
Sherlock_Holmes_Crimes_&_Punishments, Sherlock Holmes Crimes & Punishments
The_Banner_Saga_2, The Banner Saga 2
Mighty_Gunvolt, Mighty Gunvolt
Pneuma_Breath_of_Life, Pneuma Breath of Life
Gran_Turismo_Sport, Gran Turismo Sport
Agents_of_Mayhem, Agents of Mayhem
Shenmue_III, Shenmue III
Super_Time_Force, Super Time Force
Wolfenstein_The_Old_Blood, Wolfenstein The Old Blood
Crypt_of_the_NecroDancer, Crypt of the NecroDancer
The_Walking_Dead_Michonne, The Walking Dead Michonne
Lords_of_the_Fallen, Lords of the Fallen
FIFA_17, FIFA 17
Project_Phoenix, Project Phoenix
Stern_Pinball_Arcade, Stern Pinball Arcade
Blood_Bowl_2, Blood Bowl 2
Skylanders_SuperChargers, Skylanders SuperChargers
WWE_2K17, WWE 2K17
Dragon_Fin_Soup, Dragon Fin Soup
Dust_An_Elysian_Tail, Dust An Elysian Tail
Tales_from_the_Borderlands, Tales from the Borderlands
Gravity_Rush_2, Gravity Rush 2
Pro_Evolution_Soccer_2016, Pro Evolution Soccer 2016
Flow, Flow
Star_Ocean_The_Second_Story, Star Ocean The Second Story
Everybodys_Gone_to_the_Rapture, Everybodys Gone to the Rapture
TrackMania_Turbo, TrackMania Turbo
Flower, Flower
Armello, Armello
Firewatch, Firewatch
Destiny_The_Taken_King, Destiny The Taken King
