game_symbol, game_name
The_Last_of_Us, The Last of Us
Anima, Anima
Lichdom_Battlemage, Lichdom Battlemage
Rugby_League_Live_3, Rugby League Live 3
Destiny_post-release_content, Destiny post-release content
Caladrius, Caladrius
South_Park_The_Fractured_but_Whole, South Park The Fractured but Whole
Deadpool, Deadpool
Pixel_Piracy, Pixel Piracy
The_Last_of_Us_Remastered, The Last of Us Remastered
Darksiders, Darksiders
SpeedRunners, SpeedRunners
Hitman_Go, Hitman Go
Ryu_ga_Gotoku_Ishin!, Ryu ga Gotoku Ishin!
N++, N++
Steins_Gate, Steins Gate
Rime, Rime
Axiom_Verge, Axiom Verge
P.T., P.T.
Futuridium_EP_Deluxe, Futuridium EP Deluxe
Ziggurat, Ziggurat
Valkyria_Azure_Revolution, Valkyria Azure Revolution
Shovel_Knight, Shovel Knight
Kick_&_Fennick, Kick & Fennick
Final_Fantasy_X/X-2_HD_Remaster, Final Fantasy X/X-2 HD Remaster
Akibas_Trip_Undead_&_Undressed, Akibas Trip Undead & Undressed
Shantae_and_the_Pirates_Curse, Shantae and the Pirates Curse
Lifeless_Planet, Lifeless Planet
Job_Simulator, Job Simulator
Pure_Pool, Pure Pool
Homefront_The_Revolution, Homefront The Revolution
Guilty_Gear_Xrd, Guilty Gear Xrd
The_Magic_Circle, The Magic Circle
MXGP_The_Official_Motocross_Videogame, MXGP The Official Motocross Videogame
Alienation, Alienation
Moon_Cresta, Moon Cresta
Tom_Clancys_Ghost_Recon_Wildlands, Tom Clancys Ghost Recon Wildlands
Dark_Souls_III, Dark Souls III
Foul_Play, Foul Play
Road_Not_Taken, Road Not Taken
Zettai_Zetsumei_Toshi_4_Summer_Memories, Zettai Zetsumei Toshi 4 Summer Memories
Ace_Combat_7, Ace Combat 7
The_Witch_and_the_Hundred_Knight, The Witch and the Hundred Knight
Valkyria_Chronicles, Valkyria Chronicles
Atelier_Sophie_The_Alchemist_of_the_Mysterious_Book, Atelier Sophie The Alchemist of the Mysterious Book
The_Wild_Eight, The Wild Eight
The_Gallery, The Gallery
H-Hour_Worlds_Elite, H-Hour Worlds Elite
Mystery_Chronicle_One_Way_Heroics, Mystery Chronicle One Way Heroics
MX_vs._ATV_Supercross, MX vs. ATV Supercross
Summon_Night_6, Summon Night 6
Guns_of_Icarus_Online, Guns of Icarus Online
NBA_2K17, NBA 2K17
Kung_Fu_Panda_Showdown_of_Legendary_Legends, Kung Fu Panda Showdown of Legendary Legends
Disney_Infinity_3.0, Disney Infinity 3.0
SteamWorld_Dig, SteamWorld Dig
Uncharted_2_Among_Thieves, Uncharted 2 Among Thieves
We_Sing, We Sing
Another_World, Another World
Wasteland_2, Wasteland 2
The_Technomancer, The Technomancer
Until_Dawn, Until Dawn
Trine_3_The_Artifacts_of_Power, Trine 3 The Artifacts of Power
Just_Dance_2014, Just Dance 2014
The_Witcher_3_Wild_Hunt_-_Blood_and_Wine, The Witcher 3 Wild Hunt - Blood and Wine
BioShock_2, BioShock 2
Chinese_Paladin_6, Chinese Paladin 6
QuickDraw, QuickDraw
Cel_Damage, Cel Damage
Toy_Soldiers_War_Chest, Toy Soldiers War Chest
Legacy_of_Kain_Dead_Sun, Legacy of Kain Dead Sun
Gone_Home, Gone Home
Sherlock_Holmes_The_Devils_Daughter, Sherlock Holmes The Devils Daughter
Sword_Art_Online_Hollow_Fragment, Sword Art Online Hollow Fragment
Helldivers, Helldivers
Don_Bradman_Cricket_17, Don Bradman Cricket 17
Hohokum, Hohokum
Batman_Arkham_Knight, Batman Arkham Knight
Call_of_Duty_Advanced_Warfare, Call of Duty Advanced Warfare
Dragon_Age_Inquisition, Dragon Age Inquisition
Max_Payne, Max Payne
Rayman_Legends, Rayman Legends
Mount_&_Blade_Warband, Mount & Blade Warband
Samurai_Warriors_4, Samurai Warriors 4
Emily_Wants_to_Play, Emily Wants to Play
Diablo_III, Diablo III
Rory_McIlroy_PGA_Tour, Rory McIlroy PGA Tour
Three_Fourths_Home, Three Fourths Home
MLB_14_The_Show, MLB 14 The Show
Watch_Dogs, Watch Dogs
Winning_Post_World_8, Winning Post World 8
NBA_2K15, NBA 2K15
Skylanders_Trap_Team, Skylanders Trap Team
Nidhogg, Nidhogg
Adventure_Time_Finn_&_Jake_Investigations, Adventure Time Finn & Jake Investigations
Kingdom_Come_Deliverance, Kingdom Come Deliverance
Shantae_Riskys_Revenge, Shantae Riskys Revenge
Primal_Carnage_Extinction, Primal Carnage Extinction
Call_of_Duty_4_Modern_Warfare, Call of Duty 4 Modern Warfare
Giana_Sisters_Twisted_Dreams, Giana Sisters Twisted Dreams
Lego_Harry_Potter_Years_1-4, Lego Harry Potter Years 1-4
Rain_World, Rain World
Salamander, Salamander
The_Book_of_Unwritten_Tales_2, The Book of Unwritten Tales 2
Life_Is_Strange, Life Is Strange
War_Thunder, War Thunder
Battlefield_1, Battlefield 1
Mafia_III, Mafia III
The_Walking_Dead, The Walking Dead
Plants_vs._Zombies_Garden_Warfare, Plants vs. Zombies Garden Warfare
Not_A_Hero, Not A Hero
F1_2015, F1 2015
Resident_Evil_6, Resident Evil 6
Star_Wars_Jedi_Starfighter, Star Wars Jedi Starfighter
Omega_Quintet, Omega Quintet
Loot_Rascals, Loot Rascals
Geometry_Wars_3_Dimensions, Geometry Wars 3 Dimensions
BioShock_Infinite_Burial_at_Sea, BioShock Infinite Burial at Sea
Dex, Dex
Gradius, Gradius
Game_of_Thrones, Game of Thrones
GlowTag, GlowTag
Rive, Rive
Risk_of_Rain, Risk of Rain
Enter_the_Dominatrix, Enter the Dominatrix
Syndrome, Syndrome
Lego_Marvel_Super_Heroes, Lego Marvel Super Heroes
Batman_Arkham_City, Batman Arkham City
Cyberpunk_2077, Cyberpunk 2077
Joe_Devers_Lone_Wolf, Joe Devers Lone Wolf
Smite, Smite
Leos_Fortune, Leos Fortune
Never_Alone, Never Alone
Livelock, Livelock
Magicka_2, Magicka 2
Hatsune_Miku_Project_DIVA_Arcade, Hatsune Miku Project DIVA Arcade
Marvel_Ultimate_Alliance, Marvel Ultimate Alliance
Doom, Doom
Little_Nightmares, Little Nightmares
Revenge_of_the_Titans, Revenge of the Titans
The_King_of_Fighters_XIV, The King of Fighters XIV
The_Playroom, The Playroom
God_of_War_III, God of War III
Hand_of_Fate, Hand of Fate
For_Honor, For Honor
Titanfall_2, Titanfall 2
F1_2016, F1 2016
Dead_Synchronicity, Dead Synchronicity
Umbrella_Corps, Umbrella Corps
Naruto_Ultimate_Ninja, Naruto Ultimate Ninja
Pure_Chess, Pure Chess
Earth_No_More, Earth No More
AirMech, AirMech
Attack_on_Titan, Attack on Titan
Street_Fighter_V, Street Fighter V
Disney_Infinity_Marvel_Super_Heroes, Disney Infinity Marvel Super Heroes
Read_Only_Memories, Read Only Memories
God_Wars_Beyond_Time, God Wars Beyond Time
Grow_Home, Grow Home
You_Dont_Know_Jack, You Dont Know Jack
Plants_vs._Zombies_Garden_Warfare_2, Plants vs. Zombies Garden Warfare 2
Call_of_Duty_Black_Ops_III, Call of Duty Black Ops III
PlanetSide_2, PlanetSide 2
Assetto_Corsa, Assetto Corsa
Electronic_Super_Joy, Electronic Super Joy
Air_Conflicts_Pacific_Carriers, Air Conflicts Pacific Carriers
MLB_15_The_Show, MLB 15 The Show
Organ_Trail, Organ Trail
Steins_Gate_0, Steins Gate 0
Street_Fighter_IV, Street Fighter IV
Twisted_Metal, Twisted Metal
Bound_by_Flame, Bound by Flame
Darkest_Dungeon, Darkest Dungeon
Escape_Plan, Escape Plan
God_of_War, God of War
Grim_Fandango, Grim Fandango
Kingdom_Hearts_HD_2.8_Final_Chapter_Prologue, Kingdom Hearts HD 2.8 Final Chapter Prologue
Warhammer_40000_Eternal_Crusade, Warhammer 40000 Eternal Crusade
Diablo_III_Reaper_of_Souls, Diablo III Reaper of Souls
Dengeki_Bunko_Fighting_Climax, Dengeki Bunko Fighting Climax
Fairy_Fencer_F, Fairy Fencer F
Star_Trek_Online, Star Trek Online
Rocket_League, Rocket League
A_Jax, A Jax
Sengoku_Basara_4, Sengoku Basara 4
Blues_and_Bullets, Blues and Bullets
Oceanhorn_Monster_of_Uncharted_Seas, Oceanhorn Monster of Uncharted Seas
Battleborn, Battleborn
Soul_Saga_Episode_1, Soul Saga Episode 1
Nano_Assault_Neo, Nano Assault Neo
The_Fall, The Fall
Hellblade_Senuas_Sacrifice, Hellblade Senuas Sacrifice
Ironcast, Ironcast
Tom_Clancys_The_Division, Tom Clancys The Division
Orcs_Must_Die!_Unchained, Orcs Must Die! Unchained
Far_Cry_Primal, Far Cry Primal
Mirrors_Edge_Catalyst, Mirrors Edge Catalyst
Resident_Evil_5, Resident Evil 5
Dear_Esther, Dear Esther
Inside_My_Radio, Inside My Radio
Nier_Automata, Nier Automata
Dying_Light_The_Following, Dying Light The Following
Shadow_Warrior, Shadow Warrior
Grow_Up, Grow Up
Pillar, Pillar
Inside, Inside
Let_It_Die, Let It Die
Amnesia_A_Machine_for_Pigs, Amnesia A Machine for Pigs
Fallout_4, Fallout 4
Necropolis, Necropolis
Back_to_the_Future_The_Game, Back to the Future The Game
Kerbal_Space_Program, Kerbal Space Program
Lego_Harry_Potter_Years_5-7, Lego Harry Potter Years 5-7
Nioh, Nioh
Just_Cause_3, Just Cause 3
Battlefield_Hardline, Battlefield Hardline
