"g","director","programmer","artist","composer","writer","designer","genre","developer","release_date","score","platform"
"http://dbpedia.org/resource/4x4_EVO_2",,,,,,,"http://dbpedia.org/resource/Racing_video_game","http://dbpedia.org/resource/Terminal_Reality",2020-06-01,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/4x4_EVO_2",,,,,,,"http://dbpedia.org/resource/Racing_video_game","http://dbpedia.org/resource/Terminal_Reality",2020-06-01,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Afterfall:_Reconquest",,,,,,,"http://dbpedia.org/resource/Adventure_game","Intoxicate Studios",2019-02-01,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Afterfall:_Reconquest",,,,,,,"http://dbpedia.org/resource/Third-person_shooter","Intoxicate Studios",2019-02-01,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Afterfall:_Reconquest",,,,,,,"http://dbpedia.org/resource/Action_game","Intoxicate Studios",2019-02-01,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Afterfall:_Reconquest",,,,,,,"http://dbpedia.org/resource/Adventure_game","Intoxicate Studios",2019-02-01,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Afterfall:_Reconquest",,,,,,,"http://dbpedia.org/resource/Third-person_shooter","Intoxicate Studios",2019-02-01,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Afterfall:_Reconquest",,,,,,,"http://dbpedia.org/resource/Action_game","Intoxicate Studios",2019-02-01,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Age_of_Empires_III:_The_WarChiefs",,,,,,,"http://dbpedia.org/resource/Real-time_strategy","http://dbpedia.org/resource/MacSoft_Games",2020-10-06,80,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Age_of_Empires_III:_The_WarChiefs",,,,,,,"http://dbpedia.org/resource/Real-time_strategy","http://dbpedia.org/resource/Ensemble_Studios",2020-10-06,80,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Age_of_Empires_III:_The_WarChiefs",,,,,,,"http://dbpedia.org/resource/Real-time_strategy","http://dbpedia.org/resource/Robot_Entertainment",2020-10-06,80,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Age_of_Empires_III:_The_WarChiefs",,,,,,,"http://dbpedia.org/resource/Real-time_strategy","http://dbpedia.org/resource/MacSoft_Games",2020-10-06,80,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Age_of_Empires_III:_The_WarChiefs",,,,,,,"http://dbpedia.org/resource/Real-time_strategy","http://dbpedia.org/resource/Ensemble_Studios",2020-10-06,80,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Age_of_Empires_III:_The_WarChiefs",,,,,,,"http://dbpedia.org/resource/Real-time_strategy","http://dbpedia.org/resource/Robot_Entertainment",2020-10-06,80,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Age_of_Wonders_II:_The_Wizards_Throne",,,,"http://dbpedia.org/resource/Mason_B._Fisher",,"Lennart Sas","http://dbpedia.org/resource/Turn-based_strategy","http://dbpedia.org/resource/Triumph_Studios",2020-09-02,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Age_of_Wonders_II:_The_Wizards_Throne",,,,"http://dbpedia.org/resource/Mason_B._Fisher",,"Lennart Sas","http://dbpedia.org/resource/Turn-based_strategy","http://dbpedia.org/resource/Triumph_Studios",2020-09-02,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Aion:_Upheaval","Yongchan Jee",,,"Ryo Kunihiko",,"Yongchan Jee","http://dbpedia.org/resource/MMORPG","http://dbpedia.org/resource/NCSOFT",2017-07-08,"76.0","http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Aion:_Upheaval","Yongchan Jee",,,"InRo Joo",,"Yongchan Jee","http://dbpedia.org/resource/MMORPG","http://dbpedia.org/resource/NCSOFT",2017-07-08,"76.0","http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Aion:_Upheaval","Yongchan Jee",,,"Ryo Kunihiko",,"Yongchan Jee","http://dbpedia.org/resource/MMORPG","http://dbpedia.org/resource/NCSOFT",2017-07-08,"76.0","http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Aion:_Upheaval","Yongchan Jee",,,"InRo Joo",,"Yongchan Jee","http://dbpedia.org/resource/MMORPG","http://dbpedia.org/resource/NCSOFT",2017-07-08,"76.0","http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Americas_10_Most_Wanted",,,,,,,"http://dbpedia.org/resource/First_Person_Shooter","http://dbpedia.org/resource/Black_Ops_Entertainment",2018-11-04,35,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Americas_10_Most_Wanted",,,,,,,"http://dbpedia.org/resource/Action_game","http://dbpedia.org/resource/Black_Ops_Entertainment",2018-11-04,35,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/American_Idol_(video_game)",,,,,,,"http://dbpedia.org/resource/Music_video_game","http://dbpedia.org/resource/Rockstar_Leeds",2018-11-03,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/American_Idol_(video_game)",,,,,,,"http://dbpedia.org/resource/Music_video_game","http://dbpedia.org/resource/Rockstar_Leeds",2018-11-03,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Arcana_Heart_3",,,,,,"Sakuraitooru","http://dbpedia.org/resource/Versus_fighting_game","http://dbpedia.org/resource/Examu",2019-08-11,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Arcana_Heart_3",,,,,,"Sakuraitooru","http://dbpedia.org/resource/Versus_fighting_game","http://dbpedia.org/resource/Examu",2019-08-11,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Arcania:_Gothic_4","Daniel Miller",,,"http://dbpedia.org/resource/Dynamedion",,"Andre Beccu","http://dbpedia.org/resource/Action_role-playing_video_game","http://dbpedia.org/resource/Spellbound_Entertainment",2019-10-10,63,"http://dbpedia.org/resource/Microsoft_Windows"
