"g","director","programmer","artist","composer","writer","designer","genre","developer","release_date","score","platform"
"http://dbpedia.org/resource/Shinobi_III:_Return_of_the_Ninja_Master","Takeshi Matsuhashi","Tsukasa Aoki","Hiroyuki Hirama","Hirofumi Murasaki",,"Naohisa Nakazawa","http://dbpedia.org/resource/Platform_games","Megasoft",2013-08-07,62,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Shinobi_III:_Return_of_the_Ninja_Master","Takeshi Matsuhashi","Tsukasa Aoki","Katsuhiko Ogikubo","Hirofumi Murasaki",,"Naohisa Nakazawa","http://dbpedia.org/resource/Platform_games","Megasoft",2013-08-07,62,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Shinobi_III:_Return_of_the_Ninja_Master","Takeshi Matsuhashi","Tsukasa Aoki","Kazuyuki Iwasawa","Hirofumi Murasaki",,"Naohisa Nakazawa","http://dbpedia.org/resource/Platform_games","Megasoft",2013-08-07,62,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Shinobi_III:_Return_of_the_Ninja_Master","Tomoyuki Ito","Akio Oi","Hiroyuki Hirama","Hirofumi Murasaki",,"Naohisa Nakazawa","http://dbpedia.org/resource/Platform_games","Megasoft",2013-08-07,62,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Shinobi_III:_Return_of_the_Ninja_Master","Tomoyuki Ito","Akio Oi","Katsuhiko Ogikubo","Hirofumi Murasaki",,"Naohisa Nakazawa","http://dbpedia.org/resource/Platform_games","Megasoft",2013-08-07,62,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Shinobi_III:_Return_of_the_Ninja_Master","Tomoyuki Ito","Akio Oi","Kazuyuki Iwasawa","Hirofumi Murasaki",,"Naohisa Nakazawa","http://dbpedia.org/resource/Platform_games","Megasoft",2013-08-07,62,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Shinobi_III:_Return_of_the_Ninja_Master","Takeshi Matsuhashi","Akio Oi","Hiroyuki Hirama","Hirofumi Murasaki",,"Naohisa Nakazawa","http://dbpedia.org/resource/Platform_games","Megasoft",2013-08-07,62,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Shinobi_III:_Return_of_the_Ninja_Master","Takeshi Matsuhashi","Akio Oi","Katsuhiko Ogikubo","Hirofumi Murasaki",,"Naohisa Nakazawa","http://dbpedia.org/resource/Platform_games","Megasoft",2013-08-07,62,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Shinobi_III:_Return_of_the_Ninja_Master","Takeshi Matsuhashi","Akio Oi","Kazuyuki Iwasawa","Hirofumi Murasaki",,"Naohisa Nakazawa","http://dbpedia.org/resource/Platform_games","Megasoft",2013-08-07,62,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Shinobi_III:_Return_of_the_Ninja_Master","Tomoyuki Ito","Toshiaki Yajima","Hiroyuki Hirama","Hirofumi Murasaki",,"Naohisa Nakazawa","http://dbpedia.org/resource/Platform_games","Megasoft",2013-08-07,62,"http://dbpedia.org/resource/Category:Windows_games"
