"g","director","programmer","artist","composer","writer","designer","genre","developer","release_date","score","platform"
"http://dbpedia.org/resource/NBA_2K17",,,,,,,"http://dbpedia.org/resource/Sports_game","http://dbpedia.org/resource/Visual_Concepts",,93,"http://dbpedia.org/resource/Category:Xbox_One_games"
"http://dbpedia.org/resource/NBA_Live_14",,,,,,,"http://dbpedia.org/resource/Sports_game","http://dbpedia.org/resource/EA_Tiburon",2013-11-19,43,"http://dbpedia.org/resource/Xbox_One"
"http://dbpedia.org/resource/NBA_Live_14",,,,,,,"http://dbpedia.org/resource/Sports_game","http://dbpedia.org/resource/EA_Tiburon",1929-11-13,43,"http://dbpedia.org/resource/Xbox_One"
"http://dbpedia.org/resource/NBA_Live_14",,,,,,,"http://dbpedia.org/resource/Sports_game","http://dbpedia.org/resource/EA_Tiburon",2013-11-19,43,"http://dbpedia.org/resource/Category:Xbox_One_games"
"http://dbpedia.org/resource/NBA_Live_14",,,,,,,"http://dbpedia.org/resource/Sports_game","http://dbpedia.org/resource/EA_Tiburon",1929-11-13,43,"http://dbpedia.org/resource/Category:Xbox_One_games"
"http://dbpedia.org/resource/NBA_Live_15",,,,,,,"http://dbpedia.org/resource/Sports_game","http://dbpedia.org/resource/EA_Tiburon",1931-10-14,53,"http://dbpedia.org/resource/Xbox_One"
"http://dbpedia.org/resource/NBA_Live_15",,,,,,,"http://dbpedia.org/resource/Sports_game","http://dbpedia.org/resource/EA_Tiburon",1931-10-14,59,"http://dbpedia.org/resource/Xbox_One"
"http://dbpedia.org/resource/NBA_Live_15",,,,,,,"http://dbpedia.org/resource/Sports_game","http://dbpedia.org/resource/EA_Tiburon",1931-10-14,53,"http://dbpedia.org/resource/Category:Xbox_One_games"
"http://dbpedia.org/resource/NBA_Live_15",,,,,,,"http://dbpedia.org/resource/Sports_game","http://dbpedia.org/resource/EA_Tiburon",1931-10-14,59,"http://dbpedia.org/resource/Category:Xbox_One_games"
"http://dbpedia.org/resource/NBA_Live_16",,,,,,,"http://dbpedia.org/resource/Sports_game","http://dbpedia.org/resource/EA_Tiburon",2015-09-29,,"http://dbpedia.org/resource/Xbox_One"
"http://dbpedia.org/resource/NBA_Live_16",,,,,,,"http://dbpedia.org/resource/Sports_game","http://dbpedia.org/resource/EA_Tiburon",2015-09-29,,"http://dbpedia.org/resource/Category:Xbox_One_games"
"http://dbpedia.org/resource/NHL_15",,,,,,,"http://dbpedia.org/resource/Sports_game","http://dbpedia.org/resource/EA_Canada",2012-09-14,59,"http://dbpedia.org/resource/Xbox_One"
"http://dbpedia.org/resource/NHL_15",,,,,,,"http://dbpedia.org/resource/Sports_game","http://dbpedia.org/resource/EA_Canada",2012-09-14,60,"http://dbpedia.org/resource/Xbox_One"
