"g","director","programmer","artist","composer","writer","designer","genre","developer","release_date","score","platform"
"http://dbpedia.org/resource/Painkiller:_Hell_&_Damnation",,,,,,,"http://dbpedia.org/resource/First-person_shooter","http://dbpedia.org/resource/The_Farm_51",1926-11-13,64,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Painkiller:_Resurrection",,,,,,,"http://dbpedia.org/resource/Action_game","HomeGrown Games",1925-02-09,38,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Painkiller:_Resurrection",,,,,,,"http://dbpedia.org/resource/First-person_shooter","HomeGrown Games",1925-02-09,38,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Painkiller:_Resurrection",,,,,,,"http://dbpedia.org/resource/Action_game","HomeGrown Games",1925-02-09,38,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Painkiller:_Resurrection",,,,,,,"http://dbpedia.org/resource/First-person_shooter","HomeGrown Games",1925-02-09,38,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Pajama_Sam:_No_Need_to_Hide_When_It's_Dark_Outside",,,"Todd Lubsen",,,,"http://dbpedia.org/resource/Adventure","http://dbpedia.org/resource/Humongous_Entertainment",1996-10-04,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Pajama_Sam:_No_Need_to_Hide_When_It's_Dark_Outside",,,"Todd Lubsen",,,,"http://dbpedia.org/resource/Adventure","http://dbpedia.org/resource/ScummVM",1996-10-04,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Pajama_Sam:_No_Need_to_Hide_When_It's_Dark_Outside",,,"Todd Lubsen",,,,"http://dbpedia.org/resource/Adventure","http://dbpedia.org/resource/Humongous_Entertainment",1996-10-04,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Pajama_Sam:_No_Need_to_Hide_When_It's_Dark_Outside",,,"Todd Lubsen",,,,"http://dbpedia.org/resource/Adventure","http://dbpedia.org/resource/ScummVM",1996-10-04,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Pajama_Sam_2:_Thunder_and_Lightning_Aren't_so_Frightening",,,,,,,"http://dbpedia.org/resource/Adventure","http://dbpedia.org/resource/Humongous_Entertainment",1998-10-02,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Pajama_Sam_2:_Thunder_and_Lightning_Aren't_so_Frightening",,,,,,,"http://dbpedia.org/resource/Adventure","http://dbpedia.org/resource/Humongous_Entertainment",1998-10-02,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Pajama_Sam_3:_You_Are_What_You_Eat_from_Your_Head_to_Your_Feet",,,"John Michaud","George Alistair Sanger",,,"http://dbpedia.org/resource/Adventure_Game","http://dbpedia.org/resource/Humongous_Entertainment",1999-11-09,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Pandemonium!_(video_game)",,,,"http://dbpedia.org/resource/Burke_Trieschmann",,,"http://dbpedia.org/resource/Platform_game","http://dbpedia.org/resource/Toys_for_Bob",1996-10-31,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Pandemonium!_(video_game)",,,,"http://dbpedia.org/resource/Burke_Trieschmann",,,"http://dbpedia.org/resource/Platform_game","http://dbpedia.org/resource/Toys_for_Bob",1996-10-31,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Pandemonium_2",,"Andrew Lacey","Leon Cannon","http://dbpedia.org/resource/Burke_Trieschmann",,"Zak Krefting","http://dbpedia.org/resource/Platform_game","http://dbpedia.org/resource/Crystal_Dynamics",1997-09-30,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Pandemonium_2",,"Andrew Lacey","Leon Cannon","http://dbpedia.org/resource/Burke_Trieschmann",,"Zak Krefting","http://dbpedia.org/resource/Platform_game","http://dbpedia.org/resource/Crystal_Dynamics",1997-09-30,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Panzer_Commander",,,,,,,"http://dbpedia.org/resource/Vehicle_simulation_game","http://dbpedia.org/resource/Ultimation_Inc.",1998-04-30,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Panzer_Dragoon","http://dbpedia.org/resource/Yukio_Futatsugi",,"Manabu Kusunoki","Yoshitaka Azuma",,,"http://dbpedia.org/resource/Shoot_'em_up","http://dbpedia.org/resource/Team_Andromeda",1997-03-14,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Panzer_Dragoon","http://dbpedia.org/resource/Yukio_Futatsugi",,"Manabu Kusunoki","Yoshitaka Azuma",,,"http://dbpedia.org/resource/Shoot_'em_up","http://dbpedia.org/resource/Sega",1997-03-14,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Panzer_Dragoon","http://dbpedia.org/resource/Yukio_Futatsugi",,"Manabu Kusunoki","Yoshitaka Azuma",,,"http://dbpedia.org/resource/Shoot_'em_up","http://dbpedia.org/resource/Sega",1997-03-14,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Panzer_Dragoon","http://dbpedia.org/resource/Yukio_Futatsugi",,"Manabu Kusunoki","Yoshitaka Azuma",,,"http://dbpedia.org/resource/Shoot_'em_up","http://dbpedia.org/resource/Team_Andromeda",1997-03-14,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Panzer_General_II",,,,"http://dbpedia.org/resource/Kevin_Manthei",,"SSI Special Projects Group","http://dbpedia.org/resource/Turn_based_strategy","http://dbpedia.org/resource/Strategic_Simulations,_Inc.",1997-09-30,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/Panzer_General_II",,,,"http://dbpedia.org/resource/Kevin_Manthei",,"SSI Special Projects Group","http://dbpedia.org/resource/Turn_based_strategy","http://dbpedia.org/resource/Strategic_Simulations,_Inc.",1997-09-30,,"http://dbpedia.org/resource/Category:Windows_games"
