"g","director","programmer","artist","composer","writer","designer","genre","developer","release_date","score","platform"
"http://dbpedia.org/resource/Skullgirls","Mike Zaimont","Benjamin Moise","Alex Ahad","http://dbpedia.org/resource/Michiru_Yamane",,"Mike Zaimont","http://dbpedia.org/resource/Fighting_game","Hidden Variable Studios",,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Skullgirls","Mike Zaimont","Benjamin Moise","Mariel Cartwright","http://dbpedia.org/resource/Michiru_Yamane",,"Mike Zaimont","http://dbpedia.org/resource/Fighting_game","Hidden Variable Studios",,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Skullgirls","Mike Zaimont","Benjamin Moise","Richard Suh","http://dbpedia.org/resource/Michiru_Yamane",,"Mike Zaimont","http://dbpedia.org/resource/Fighting_game","Hidden Variable Studios",,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Skullgirls","Alex Ahad","Benjamin Moise","Various artists","http://dbpedia.org/resource/Michiru_Yamane",,"Mike Zaimont","http://dbpedia.org/resource/Fighting_game","Lab Zero Games",,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Skullgirls","Alex Ahad","Benjamin Moise","Jonathan Kim","http://dbpedia.org/resource/Michiru_Yamane",,"Mike Zaimont","http://dbpedia.org/resource/Fighting_game","Lab Zero Games",,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Skullgirls","Alex Ahad","Benjamin Moise","Alex Ahad","http://dbpedia.org/resource/Michiru_Yamane",,"Mike Zaimont","http://dbpedia.org/resource/Fighting_game","Lab Zero Games",,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Skullgirls","Alex Ahad","Benjamin Moise","Mariel Cartwright","http://dbpedia.org/resource/Michiru_Yamane",,"Mike Zaimont","http://dbpedia.org/resource/Fighting_game","Lab Zero Games",,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Skullgirls","Alex Ahad","Benjamin Moise","Richard Suh","http://dbpedia.org/resource/Michiru_Yamane",,"Mike Zaimont","http://dbpedia.org/resource/Fighting_game","Lab Zero Games",,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Skullgirls","Mike Zaimont","Benjamin Moise","Various artists","http://dbpedia.org/resource/Michiru_Yamane",,"Mike Zaimont","http://dbpedia.org/resource/Fighting_game","Lab Zero Games",,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Skullgirls","Mike Zaimont","Benjamin Moise","Jonathan Kim","http://dbpedia.org/resource/Michiru_Yamane",,"Mike Zaimont","http://dbpedia.org/resource/Fighting_game","Lab Zero Games",,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Skullgirls","Mike Zaimont","Benjamin Moise","Alex Ahad","http://dbpedia.org/resource/Michiru_Yamane",,"Mike Zaimont","http://dbpedia.org/resource/Fighting_game","Lab Zero Games",,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Skullgirls","Mike Zaimont","Benjamin Moise","Mariel Cartwright","http://dbpedia.org/resource/Michiru_Yamane",,"Mike Zaimont","http://dbpedia.org/resource/Fighting_game","Lab Zero Games",,78,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/Skullgirls","Mike Zaimont","Benjamin Moise","Richard Suh","http://dbpedia.org/resource/Michiru_Yamane",,"Mike Zaimont","http://dbpedia.org/resource/Fighting_game","Lab Zero Games",,78,"http://dbpedia.org/resource/Category:Windows_games"
