"g","director","programmer","artist","composer","writer","designer","genre","developer","release_date","score","platform"
"http://dbpedia.org/resource/0_A.D._(video_game)",,,,"Omri Lahav",,,"http://dbpedia.org/resource/Real-time_strategy","http://dbpedia.org/resource/Wildfire_Games",2016-03-31,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/0_A.D._(video_game)",,,,"Omri Lahav",,,"http://dbpedia.org/resource/Real-time_strategy","http://dbpedia.org/resource/Wildfire_Games",2016-03-31,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/140_(video_game)",,,,,,,"http://dbpedia.org/resource/Platform_game","Jeppe Carlsen / Abstraction Games",2013-10-16,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/140_(video_game)",,,,,,,"http://dbpedia.org/resource/Platform_game","Jeppe Carlsen / Abstraction Games",2016-08-30,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/140_(video_game)",,,,,,,"http://dbpedia.org/resource/Platform_game","Jeppe Carlsen / Abstraction Games",2016-09-01,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/140_(video_game)",,,,,,,"http://dbpedia.org/resource/Platform_game","Jeppe Carlsen / Abstraction Games",2013-10-16,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/140_(video_game)",,,,,,,"http://dbpedia.org/resource/Platform_game","Jeppe Carlsen / Abstraction Games",2016-08-30,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/140_(video_game)",,,,,,,"http://dbpedia.org/resource/Platform_game","Jeppe Carlsen / Abstraction Games",2016-09-01,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/1979_Revolution:_Black_Friday","http://dbpedia.org/resource/Navid_Khonsari",,,"http://dbpedia.org/resource/Nima_Fakhrara","http://dbpedia.org/resource/Brian_Wood_(comics)",,"http://dbpedia.org/resource/Interactive_movie","iNK Stories",2016-04-05,80,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/1979_Revolution:_Black_Friday","http://dbpedia.org/resource/Navid_Khonsari",,,"http://dbpedia.org/resource/Nima_Fakhrara","http://dbpedia.org/resource/Navid_Khonsari",,"http://dbpedia.org/resource/Adventure_game","iNK Stories",2016-04-05,80,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/1979_Revolution:_Black_Friday","http://dbpedia.org/resource/Navid_Khonsari",,,"http://dbpedia.org/resource/Nima_Fakhrara","http://dbpedia.org/resource/Navid_Khonsari",,"http://dbpedia.org/resource/Interactive_movie","iNK Stories",2016-04-05,80,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/1979_Revolution:_Black_Friday","http://dbpedia.org/resource/Navid_Khonsari",,,"http://dbpedia.org/resource/Nima_Fakhrara","http://dbpedia.org/resource/Brian_Wood_(comics)",,"http://dbpedia.org/resource/Adventure_game","iNK Stories",2016-04-05,80,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/1979_Revolution:_Black_Friday","http://dbpedia.org/resource/Navid_Khonsari",,,"http://dbpedia.org/resource/Nima_Fakhrara","http://dbpedia.org/resource/Brian_Wood_(comics)",,"http://dbpedia.org/resource/Interactive_movie","iNK Stories",2016-04-05,80,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/1979_Revolution:_Black_Friday","http://dbpedia.org/resource/Navid_Khonsari",,,"http://dbpedia.org/resource/Nima_Fakhrara","http://dbpedia.org/resource/Navid_Khonsari",,"http://dbpedia.org/resource/Adventure_game","iNK Stories",2016-04-05,80,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/1979_Revolution:_Black_Friday","http://dbpedia.org/resource/Navid_Khonsari",,,"http://dbpedia.org/resource/Nima_Fakhrara","http://dbpedia.org/resource/Navid_Khonsari",,"http://dbpedia.org/resource/Interactive_movie","iNK Stories",2016-04-05,80,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/1979_Revolution:_Black_Friday","http://dbpedia.org/resource/Navid_Khonsari",,,"http://dbpedia.org/resource/Nima_Fakhrara","http://dbpedia.org/resource/Brian_Wood_(comics)",,"http://dbpedia.org/resource/Adventure_game","iNK Stories",2016-04-05,80,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/20XX_(video_game)","Chris King",,"Clemens Scott","http://dbpedia.org/resource/Brandon_Ellis_(musician)",,,"http://dbpedia.org/resource/Platform_video_game","http://dbpedia.org/resource/Batterystaple_Games",2014-11-25,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/20XX_(video_game)","Chris King",,"Clemens Scott","http://dbpedia.org/resource/Brandon_Ellis_(musician)",,,"http://dbpedia.org/resource/Roguelike","http://dbpedia.org/resource/Batterystaple_Games",2014-11-25,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/20XX_(video_game)","Chris King",,"Clemens Scott","http://dbpedia.org/resource/Brandon_Ellis_(musician)",,,"http://dbpedia.org/resource/Action_game","http://dbpedia.org/resource/Batterystaple_Games",2014-11-25,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/4x4_Evolution",,,,,,,"http://dbpedia.org/resource/Racing_game","http://dbpedia.org/resource/Terminal_Reality",2013-04-01,,"http://dbpedia.org/resource/Microsoft_Windows"
"http://dbpedia.org/resource/4x4_Evolution",,,,,,,"http://dbpedia.org/resource/Racing_game","http://dbpedia.org/resource/Terminal_Reality",2013-04-01,,"http://dbpedia.org/resource/Category:Windows_games"
"http://dbpedia.org/resource/4x4_Hummer",,,,,,,"http://dbpedia.org/resource/Racing","http://dbpedia.org/resource/Avalon_Entertainment",2015-06-08,,"http://dbpedia.org/resource/Category:Windows_games"
