"g","director","programmer","artist","composer","writer","designer","genre","developer","release_date","score"
"http://dbpedia.org/resource/The_Walking_Dead:_Season_Two","Graham Ross",,,"http://dbpedia.org/resource/Jared_Emerson-Johnson","Pierre Shorette","Harrison G. Pink","http://dbpedia.org/resource/Interactive_movie","http://dbpedia.org/resource/Telltale_Games",1923-07-14,81
"http://dbpedia.org/resource/The_Walking_Dead:_Season_Two","Dennis Lenart",,,"http://dbpedia.org/resource/Jared_Emerson-Johnson","Pierre Shorette","Harrison G. Pink","http://dbpedia.org/resource/Interactive_movie","http://dbpedia.org/resource/Telltale_Games",1923-07-14,81
"http://dbpedia.org/resource/The_Walking_Dead:_Season_Two","Eric Parsons",,,"http://dbpedia.org/resource/Jared_Emerson-Johnson","Pierre Shorette","Harrison G. Pink","http://dbpedia.org/resource/Interactive_movie","http://dbpedia.org/resource/Telltale_Games",1923-07-14,81
"http://dbpedia.org/resource/The_Walking_Dead:_Season_Two","Jason Latino",,,"http://dbpedia.org/resource/Jared_Emerson-Johnson","Pierre Shorette","Harrison G. Pink","http://dbpedia.org/resource/Interactive_movie","http://dbpedia.org/resource/Telltale_Games",1923-07-14,81
"http://dbpedia.org/resource/The_Walking_Dead:_Season_Two","Sean Ainsworth",,,"http://dbpedia.org/resource/Jared_Emerson-Johnson","Pierre Shorette","Harrison G. Pink","http://dbpedia.org/resource/Interactive_movie","http://dbpedia.org/resource/Telltale_Games",1923-07-14,81
"http://dbpedia.org/resource/The_Walking_Dead:_Season_Two","Graham Ross",,,"http://dbpedia.org/resource/Jared_Emerson-Johnson","Andrew Grant","Sean Ainsworth","http://dbpedia.org/resource/Interactive_movie","http://dbpedia.org/resource/Telltale_Games",1923-07-14,81
"http://dbpedia.org/resource/The_Walking_Dead:_Season_Two","Dennis Lenart",,,"http://dbpedia.org/resource/Jared_Emerson-Johnson","Andrew Grant","Sean Ainsworth","http://dbpedia.org/resource/Interactive_movie","http://dbpedia.org/resource/Telltale_Games",1923-07-14,81
"http://dbpedia.org/resource/The_Walking_Dead:_Season_Two","Eric Parsons",,,"http://dbpedia.org/resource/Jared_Emerson-Johnson","Andrew Grant","Sean Ainsworth","http://dbpedia.org/resource/Interactive_movie","http://dbpedia.org/resource/Telltale_Games",1923-07-14,81
"http://dbpedia.org/resource/The_Walking_Dead:_Season_Two","Jason Latino",,,"http://dbpedia.org/resource/Jared_Emerson-Johnson","Andrew Grant","Sean Ainsworth","http://dbpedia.org/resource/Interactive_movie","http://dbpedia.org/resource/Telltale_Games",1923-07-14,81
"http://dbpedia.org/resource/The_Walking_Dead:_Season_Two","Sean Ainsworth",,,"http://dbpedia.org/resource/Jared_Emerson-Johnson","Andrew Grant","Sean Ainsworth","http://dbpedia.org/resource/Interactive_movie","http://dbpedia.org/resource/Telltale_Games",1923-07-14,81
